"collection_schema","uid","name","desc","date","colors","emoji"
"collection","12","Linux Commands","","1786479228","0",
"packs_schema","uid","name","desc","date","colors","collection","emoji"
"packs","70","General CLI","","1786479228","0","12",
"cards_schema","uid","front","back","pack","known","date","notes","last_repetition"
"cards","8093","What command lists PCI devices in a system?",".","70","0","1786479228","**What command lists PCI devices in a system?** answer: lspci","0"
"cards","8094","What command lists USB devices in a system?",".","70","0","1786479228","**What command lists USB devices in a system?** answer: lsusb","0"
"cards","8095","What directory contains virtual files representing system hardware and kernel info?",".","70","0","1786479228","**What directory contains virtual files representing system hardware and kernel info?** answer: /sys","0"
"cards","8096","What directory contains device special files representing hardware nodes?",".","70","0","1786479228","**What directory contains device special files representing hardware nodes?** answer: /dev","0"
"cards","8097","What command loads a kernel module along with its dependencies?",".","70","0","1786479228","**What command loads a kernel module along with its dependencies?** answer: modprobe","0"
"cards","8098","What command unloads a kernel module?",".","70","0","1786479228","**What command unloads a kernel module?** answer: rmmod","0"
"cards","8099","What command lists currently loaded kernel modules?",".","70","0","1786479228","**What command lists currently loaded kernel modules?** answer: lsmod","0"
"cards","8100","What command displays detailed hardware information extracted from sysfs?",".","70","0","1786479228","**What command displays detailed hardware information extracted from sysfs?** answer: lshw","0"
"cards","8101","What command queries block devices such as hard drives and partitions?",".","70","0","1786479228","**What command queries block devices such as hard drives and partitions?** answer: lsblk","0"
"cards","8102","What command reports filesystem disk space usage and block device mounts?",".","70","0","1786479228","**What command reports filesystem disk space usage and block device mounts?** answer: df","0"
"cards","8103","What file in /proc contains CPU architecture and model details?",".","70","0","1786479228","**What file in /proc contains CPU architecture and model details?** answer: /proc/cpuinfo","0"
"cards","8104","What file in /proc contains RAM and memory usage statistics?",".","70","0","1786479228","**What file in /proc contains RAM and memory usage statistics?** answer: /proc/meminfo","0"
"cards","8105","What command shows kernel ring buffer messages related to hardware detection?",".","70","0","1786479228","**What command shows kernel ring buffer messages related to hardware detection?** answer: dmesg","0"
"cards","8106","What tool examines the partition table and disk geometry of a block device?",".","70","0","1786479228","**What tool examines the partition table and disk geometry of a block device?** answer: fdisk -l","0"
"cards","8107","What command modifies kernel parameters at runtime or views sysctl settings?",".","70","0","1786479228","**What command modifies kernel parameters at runtime or views sysctl settings?** answer: sysctl","0"
"cards","8108","What command maps universally unique identifiers (UUIDs) or labels to block devices?",".","70","0","1786479228","**What command maps universally unique identifiers (UUIDs) or labels to block devices?** answer: blkid","0"
"cards","8109","What command displays PCI devices in a detailed tree format?",".","70","0","1786479228","**What command displays PCI devices in a detailed tree format?** answer: lspci -t","0"
"cards","8110","What command displays USB devices in a detailed tree format?",".","70","0","1786479228","**What command displays USB devices in a detailed tree format?** answer: lsusb -t","0"
"cards","8111","What command creates a device special file manually?",".","70","0","1786479228","**What command creates a device special file manually?** answer: mknod","0"
"cards","8112","What subsystem provides a structured interface from the kernel to user space for device information?",".","70","0","1786479228","**What subsystem provides a structured interface from the kernel to user space for device information?** answer: sysfs","0"
"cards","8113","What file system is mounted at /proc to provide kernel and process information?",".","70","0","1786479228","**What file system is mounted at /proc to provide kernel and process information?** answer: procfs","0"
"cards","8114","What command outputs detailed information about a specific PCI device using its slot address?",".","70","0","1786479228","**What command outputs detailed information about a specific PCI device using its slot address?** answer: lspci -v","0"
"cards","8115","What command forces the kernel to re-read partition tables without rebooting?",".","70","0","1786479228","**What command forces the kernel to re-read partition tables without rebooting?** answer: partprobe","0"
